AllStatements
Date, Type, Description, Check Number, Amount, Balance 
03/16/2020,Debit Card,LA SIESTA MEXIC             COLUMBIA        MO,,-25.00,03/16/2020,122.31
03/13/2020,Debit Card,PANDA EXPRESS #             COLUMBIA        MO,,-8.50,03/13/2020,175.42
03/12/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,03/12/2020,236.41
03/10/2020,Debit Card,TACO BELL 02994             COLUMBIA        MO,,-6.51,03/10/2020,246.58
03/10/2020,Debit Card,B & B BAGEL COM             COLUMBIA        MO,,-10.05,03/10/2020,253.09
03/05/2020,Debit Card,CICIS PIZZA #51             Columbia        MO,,-5.71,03/05/2020,303.97
03/04/2020,Debit Card,POTENTIAL ENERG             COLUMBIA        MO,,-2.36,03/04/2020,393.41
03/02/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-4.32,03/02/2020,330.83
02/26/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,02/26/2020,335.15
02/25/2020,Debit Card,MCDONALD'S F151             LAWRENCE        KS,,-3.28,02/25/2020,357.74
02/24/2020,Debit Card,MCDONALD'S F151             LAWRENCE        KS,,-6.56,02/24/2020,403.75
02/24/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,02/24/2020,410.31
02/24/2020,Debit Card,CICIS PIZZA #51             Columbia        MO,,-5.71,02/24/2020,413.55
02/20/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,02/20/2020,452.75
02/18/2020,Debit Card,00000000020242 MCDONALD'S F171    COLUMBIA      MO,,-13.00,02/18/2020,1937.66
02/12/2020,Debit Card,TACO BELL 02994             COLUMBIA        MO,,-3.25,02/12/2020,255.28
02/10/2020,Debit Card,PEPPERJAX 28 CO             COLUMBIA        MO,,-8.82,02/10/2020,294.58
02/10/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,02/10/2020,303.40
02/03/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-8.95,02/03/2020,183.39
02/03/2020,Deposits,CHIPOTLE 0315               COLUMBIA        MO,,8.95,02/03/2020,236.10
01/31/2020,Debit Card,ZAXBY'S #46401              COLUMBIA        MO,,-7.99,01/31/2020,227.15
01/28/2020,Debit Card,MCDONALD'S F114             COLUMBIA        MO,,-5.40,01/28/2020,235.14
01/27/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,01/27/2020,305.11
01/21/2020,Debit Card,MCDONALD'S F313             BALTIMORE       MD,,-7.29,01/21/2020,529.84
01/13/2020,Debit Card,BURGER KING #11             KANSAS CITY     MO,,-13.26,01/13/2020,500.25
01/13/2020,Debit Card,MCDONALD'S F116             KANSAS CITY     MO,,-8.58,01/13/2020,519.51
01/10/2020,Debit Card,MCDONALD'S F116             KANSAS CITY     MO,,-3.31,01/10/2020,505.07
01/08/2020,Debit Card,ARBY'S 5004021              KANSAS CITY     MO,,-11.56,01/08/2020,508.38
01/06/2020,Debit Card,MCDONALD'S F116             KANSAS CITY     MO,,-9.37,01/06/2020,810.07
01/02/2020,Debit Card,PIZZA SHUTTLE -             LAWRENCE        KS,,-25.86,01/02/2020,475.51
12/23/2019,Debit Card,ARBY'S 5004021              KANSAS CITY     MO,,-18.90,12/23/2019,669.03
12/23/2019,Debit Card,WAFFLE HOUSE 12             KANSAS CITY     MO,,-13.00,12/23/2019,687.93
12/20/2019,Debit Card,DOORDASH*FIVE G             SAN FRANCISCO   CA,,-27.08,12/20/2019,723.94
12/20/2019,Debit Card,CHICK-FIL-A #02             LIBERTY         MO,,-17.53,12/20/2019,751.02
12/18/2019,Debit Card,MCDONALD'S F116             KANSAS CITY     MO,,-9.37,12/18/2019,824.55
12/16/2019,Debit Card,SUBWAY        0             Kansas City     MO,,-5.51,12/16/2019,974.34
12/04/2019,Debit Card,PANDA EXPRESS #2  COLUMBIA     MO00067332,,-8.28,12/04/2019,1062.10
12/02/2019,Debit Card,MCDONALD'S F1162  KANSAS CITY  MO15645717,,-7.61,12/02/2019,1098.20
11/23/2019,Debit Card,MCDONALD'S F1349  KANSAS CITY  MO15645805,,-7.84,11/23/2019,1075.18
11/18/2019,Debit Card,JIMMY JOHNS - 16  COLUMBIA     MO49566835,,-9.76,11/18/2019,1115.54
11/16/2019,Debit Card,CHIPOTLE 0315     COLUMBIA     MO39002743,,-7.54,11/16/2019,1125.30
11/13/2019,Debit Card,ZAXBY'S #46401    COLUMBIA     MO66227524,,-13.00,11/13/2019,1149.72
11/11/2019,Debit Card,POPEYES CHICKEN   COLUMBIA     MO88403532,,-4.31,11/11/2019,1059.49
10/29/2019,Debit Card,MCDONALD'S F1140  COLUMBIA     MO23202908,,-5.81,10/29/2019,1176.44
10/25/2019,Debit Card,POTENTIAL ENERGY  COLUMBIA     MO15668429,,-2.36,10/25/2019,1182.25
10/23/2019,Debit Card,TACO BELL 029943  COLUMBIA     MO03371863,,-3.25,10/23/2019,1184.61
10/23/2019,Debit Card,POTENTIAL ENERGY  COLUMBIA     MO38218381,,-3.98,10/23/2019,1187.86
10/22/2019,Debit Card,MCDONALD'S F1140  COLUMBIA     MO27808538,,-3.24,10/22/2019,3291.84
10/21/2019,Debit Card,CHIPOTLE 1027     COLUMBIA     MO88702578,,-8.64,10/21/2019,3320.97
10/21/2019,Debit Card,CICIS PIZZA #512  COLUMBIA     MO91232145,,-5.39,10/21/2019,3329.61

MUJob
Date, Type, Description, Check Number, Amount, Balance 
09/16/2020,ACH,UNIV OF MISSOURIPAYROLL,,14.18,09/16/2020,7281.40
04/29/2020,ACH,UNIV OF MISSOURIPAYROLL,,89.78,04/29/2020,875.58
04/15/2020,ACH,UNIV OF MISSOURIPAYROLL,,51.98,04/15/2020,718.79
04/01/2020,ACH,UNIV OF MISSOURIPAYROLL,,131.36,04/01/2020,522.81
03/18/2020,ACH,UNIV OF MISSOURIPAYROLL,,116.24,03/18/2020,422.79
03/04/2020,ACH,UNIV OF MISSOURIPAYROLL,,90.72,03/04/2020,395.77
02/19/2020,ACH,UNIV OF MISSOURIPAYROLL,,22.68,02/19/2020,1960.34
12/24/2019,ACH,UNIV OF MISSOURIPAYROLL,,13.23,12/24/2019,402.04
11/27/2019,ACH,UNIV OF MISSOURI PAYROLL 19111,,47.25,11/27/2019,1105.81
11/13/2019,ACH,UNIV OF MISSOURI PAYROLL 19110,,116.24,11/13/2019,1162.72
10/30/2019,ACH,UNIV OF MISSOURI PAYROLL 19101,,45.36,10/30/2019,1221.80

